,high-extension,high-overshoot,medium-extension,medium-overshoot,low,verylow,verylow-overshoot
1909,-0.02782282072380681,-0.02782282072380681,-0.02782282072380681,-0.02782282072380681,-0.02782282072380681,-0.02782282072380681,-0.02782282072380681
1910,-0.018251483227938906,-0.018251483227938906,-0.018251483227938906,-0.018251483227938906,-0.018251483227938906,-0.018251483227938906,-0.018251483227938906
1911,-0.022511420241112124,-0.022511420241112124,-0.022511420241112124,-0.022511420241112124,-0.022511420241112124,-0.022511420241112124,-0.022511420241112124
1912,-0.01612579970351,-0.01612579970351,-0.01612579970351,-0.01612579970351,-0.01612579970351,-0.01612579970351,-0.01612579970351
1913,-0.05549826126140994,-0.05549826126140994,-0.05549826126140994,-0.05549826126140994,-0.05549826126140994,-0.05549826126140994,-0.05549826126140994
1914,-0.07577707508493793,-0.07577707508493793,-0.07577707508493793,-0.07577707508493793,-0.07577707508493793,-0.07577707508493793,-0.07577707508493793
1915,-0.05581043576126317,-0.05581043576126317,-0.05581043576126317,-0.05581043576126317,-0.05581043576126317,-0.05581043576126317,-0.05581043576126317
1916,-0.031694381612605946,-0.031694381612605946,-0.031694381612605946,-0.031694381612605946,-0.031694381612605946,-0.031694381612605946,-0.031694381612605946
1917,-0.020278955204961393,-0.020278955204961393,-0.020278955204961393,-0.020278955204961393,-0.020278955204961393,-0.020278955204961393,-0.020278955204961393
1918,-0.010112404295375766,-0.010112404295375766,-0.010112404295375766,-0.010112404295375766,-0.010112404295375766,-0.010112404295375766,-0.010112404295375766
1919,-0.00371938988954341,-0.00371938988954341,-0.00371938988954341,-0.00371938988954341,-0.00371938988954341,-0.00371938988954341,-0.00371938988954341
1920,0.006204944660109211,0.006204944660109211,0.006204944660109211,0.006204944660109211,0.006204944660109211,0.006204944660109211,0.006204944660109211
1921,0.009300496788499833,0.009300496788499833,0.009300496788499833,0.009300496788499833,0.009300496788499833,0.009300496788499833,0.009300496788499833
1922,0.025139888186679133,0.025139888186679133,0.025139888186679133,0.025139888186679133,0.025139888186679133,0.025139888186679133,0.025139888186679133
1923,0.03286240954335354,0.03286240954335354,0.03286240954335354,0.03286240954335354,0.03286240954335354,0.03286240954335354,0.03286240954335354
1924,0.02101208484565448,0.02101208484565448,0.02101208484565448,0.02101208484565448,0.02101208484565448,0.02101208484565448,0.02101208484565448
1925,0.04035218069315534,0.04035218069315534,0.04035218069315534,0.04035218069315534,0.04035218069315534,0.04035218069315534,0.04035218069315534
1926,0.04735265788275134,0.04735265788275134,0.04735265788275134,0.04735265788275134,0.04735265788275134,0.04735265788275134,0.04735265788275134
1927,0.05320286893815258,0.05320286893815258,0.05320286893815258,0.05320286893815258,0.05320286893815258,0.05320286893815258,0.05320286893815258
1928,0.050454790829559094,0.050454790829559094,0.050454790829559094,0.050454790829559094,0.050454790829559094,0.050454790829559094,0.050454790829559094
1929,0.058655221901063544,0.058655221901063544,0.058655221901063544,0.058655221901063544,0.058655221901063544,0.058655221901063544,0.058655221901063544
1930,0.03138925430346973,0.03138925430346973,0.03138925430346973,0.03138925430346973,0.03138925430346973,0.03138925430346973,0.03138925430346973
1931,0.04562201499873795,0.04562201499873795,0.04562201499873795,0.04562201499873795,0.04562201499873795,0.04562201499873795,0.04562201499873795
1932,0.07132124478699058,0.07132124478699058,0.07132124478699058,0.07132124478699058,0.07132124478699058,0.07132124478699058,0.07132124478699058
1933,0.06934061837729741,0.06934061837729741,0.06934061837729741,0.06934061837729741,0.06934061837729741,0.06934061837729741,0.06934061837729741
1934,0.08140093201950871,0.08140093201950871,0.08140093201950871,0.08140093201950871,0.08140093201950871,0.08140093201950871,0.08140093201950871
